Month,Year,Rainfall,WPI,Temperature
4,2012,47.5,97.1,26.89
5,2012,31.7,99.7,28.72
6,2012,117.8,101.6,28.91
7,2012,250.2,108.6,27.98
8,2012,262.4,115.6,27.31
9,2012,193.5,118.6,26.65
10,2012,58.7,116.3,24.85
11,2012,30.7,114.4,22.26
12,2012,11.7,110.2,19.91
1,2013,11.3,109.1,18.88
2,2013,40.1,110.6,21.07
3,2013,15.7,116.3,24.53
4,2013,30.4,118.1,26.97
5,2013,57.8,118.2,29.06
6,2013,219.8,117.7,28.24
7,2013,310,116.5,27.5
8,2013,254.7,116.7,27.22
9,2013,152.7,117.2,26.87
10,2013,129.4,118.4,25.63
11,2013,14,119,22.18
12,2013,6.7,118.4,19.69
1,2014,19.2,118.1,18.81
2,2014,27.4,118.4,20.35
3,2014,36.1,119,23.34
4,2014,22.2,120.6,26.91
5,2014,72.9,121,28.45
6,2014,95.4,120.1,29.42
7,2014,261.2,122.2,28.07
8,2014,237.5,126.8,27.42
9,2014,188,126.5,26.61
10,2014,60.2,126.3,25.38
11,2014,14.4,127.7,22.53
12,2014,10.7,128.2,19.5
1,2015,17.4,134.3,19.02
2,2015,21,139.1,21.23
3,2015,62,144.8,23.52
4,2015,69.4,148.4,26.52
5,2015,53.8,157.3,28.82
6,2015,192.8,173.7,28.15
7,2015,242.4,174.8,28.03
8,2015,205.2,185.5,27.64
9,2015,131.8,196.9,27.04
10,2015,42.9,219,25.82
11,2015,39.4,217.1,22.95
12,2015,15,222.8,20.21
1,2016,19.3,215.8,20.92
2,2016,22.8,205.5,23.58
3,2016,27.6,201.2,26.61
4,2016,37.4,217.5,29.56
5,2016,62.6,216.8,30.41
6,2016,168.3,217.2,29.7
7,2016,289.1,215.1,28.18
8,2016,256.3,195,28.17
9,2016,171.9,184.6,27.72
10,2016,76.1,182.4,26.81
11,2016,29.7,178.9,23.9
12,2016,14.9,166,21.89
1,2017,19,140.7,20.59
2,2017,22.6,133.1,23.08
3,2017,27.8,126,25.58
4,2017,37.9,127.2,29.17
5,2017,62.4,121.6,30.47
6,2017,168.1,118.3,29.44
7,2017,289.3,114.1,28.31
8,2017,256.2,115.4,28.12
9,2017,171.5,118.4,28.11
10,2017,76.3,113.8,27.24
11,2017,29.9,111.6,23.92
12,2017,15,112.6,21.47
1,2018,19.2,114.9,18.32
2,2018,20.1,116.5,20.79
3,2018,27.1,116.6,24.11
4,2018,40.2,115.3,26.1
5,2018,62.7,115.9,28.92
6,2018,165,113.2,28.6
7,2018,286.3,111.2,27.6
8,2018,254.3,110.8,27.2
9,2018,171.9,110.8,26.7
10,2018,77.2,109.4,25.51
11,2018,28.1,114,22.84
12,2018,14.1,123.9,19.84
