Month,Year,Rainfall,WPI,Temperature
4,2012,47.5,117.1,26.89
5,2012,31.7,118,28.72
6,2012,117.8,111.2,28.91
7,2012,250.2,113.2,27.98
8,2012,262.4,113.8,27.31
9,2012,193.5,111.8,26.65
10,2012,58.7,110.5,24.85
11,2012,30.7,113.9,22.26
12,2012,11.7,119,19.91
1,2013,11.3,119.4,18.88
2,2013,40.1,120.2,21.07
3,2013,15.7,119.5,24.53
4,2013,30.4,116.5,26.97
5,2013,57.8,114.7,29.06
6,2013,219.8,115.8,28.24
7,2013,310,115.8,27.5
8,2013,254.7,116.3,27.22
9,2013,152.7,118,26.87
10,2013,129.4,118.6,25.63
11,2013,14,120.1,22.18
12,2013,6.7,123.3,19.69
1,2014,19.2,123.9,18.81
2,2014,27.4,123.5,20.35
3,2014,36.1,124.1,23.34
4,2014,22.2,119.2,26.91
5,2014,72.9,120.7,28.45
6,2014,95.4,118.2,29.42
7,2014,261.2,120.1,28.07
8,2014,237.5,124.2,27.42
9,2014,188,127.1,26.61
10,2014,60.2,129.8,25.38
11,2014,14.4,128.4,22.53
12,2014,10.7,131,19.5
1,2015,17.4,135.4,19.02
2,2015,21,134.7,21.23
3,2015,62,132.6,23.52
4,2015,69.4,120.1,26.52
5,2015,53.8,122.7,28.82
6,2015,192.8,120.7,28.15
7,2015,242.4,121.9,28.03
8,2015,205.2,122.6,27.64
9,2015,131.8,124.3,27.04
10,2015,42.9,128.5,25.82
11,2015,39.4,133.1,22.95
12,2015,15,136.1,20.21
1,2016,19.3,138.5,20.92
2,2016,22.8,141.6,23.58
3,2016,27.6,139.4,26.61
4,2016,37.4,143.4,29.56
5,2016,62.6,148.7,30.41
6,2016,168.3,151.8,29.7
7,2016,289.1,154.2,28.18
8,2016,256.3,155.5,28.17
9,2016,171.9,154,27.72
10,2016,76.1,153.6,26.81
11,2016,29.7,159.5,23.9
12,2016,14.9,161.2,21.89
1,2017,19,161.6,20.59
2,2017,22.6,161.9,23.08
3,2017,27.8,156.9,25.58
4,2017,37.9,144.5,29.17
5,2017,62.4,137.7,30.47
6,2017,168.1,138.1,29.44
7,2017,289.3,139.3,28.31
8,2017,256.2,139.1,28.12
9,2017,171.5,140.3,28.11
10,2017,76.3,141.2,27.24
11,2017,29.9,140.4,23.92
12,2017,15,142.9,21.47
1,2018,19.2,141.6,18.32
2,2018,20.1,141,20.79
3,2018,27.1,140.8,24.11
4,2018,40.2,138.9,26.1
5,2018,62.7,139.8,28.92
6,2018,165,141.7,28.6
7,2018,286.3,141,27.6
8,2018,254.3,145,27.2
9,2018,171.9,146.7,26.7
10,2018,77.2,150.2,25.51
11,2018,28.1,153.5,22.84
12,2018,14.1,154.8,19.84
